,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
115471,446,1,84000,Employees,Springfield Nuclear Power Plant,FOR HE'S A JOLLY GOOD FELLOOOOOWWWWW!...WHICH NOBODY CAN DENY!
115472,446,2,93000,Lenny Leonard,Springfield Nuclear Power Plant,EXCEPT HIS EX-WIFE...
115473,446,3,97000,Carl Carlson,Springfield Nuclear Power Plant,"So, what are you gonna do without us numbskulls to supervise?"
115474,446,4,100000,Ted,Springfield Nuclear Power Plant,"I plan to fill the void with gardening, early dining, and I've been learning to speak Mandarin Chinese."
115475,446,5,108000,Chinese-american Worker,Springfield Nuclear Power Plant,That's garbage. That's total garbage.
115477,446,7,111000,Carl Carlson,Hallway,I'm gonna miss Ted. He was a good supervisor.
115478,446,8,114000,Lenny Leonard,Hallway,"Definitely hands-off. He didn't mind if we punched in a little late, or not at all..."
115479,446,9,118000,Homer Simpson,Hallway,Or that we made a few adjustments to the soda machine...
115480,446,10,127000,Lenny Leonard,Hallway,"Here's to us: ""The Unsupervisables!"""
115482,446,11,132000,C. Montgomery Burns,Hallway,"Ah, I expect you're all anxiously awaiting my choice for your new supervisor."
115483,446,12,136000,Homer Simpson,Hallway,Can't we just all supervise ourselves?
115485,446,14,154000,Lenny Leonard,Hallway,I win!
115486,446,15,156000,C. Montgomery Burns,Hallway,"In any event, much as what formerly was my kidney is now my heart, I've decided to promote from within. One of you will get the job. But which one?..."
115489,446,18,182000,C. Montgomery Burns,Hallway,"Congratulations! I dub thee King of the Morons, also known as Supervisor for Sector Seven-G. Here is your key to the executive washroom."
115490,446,19,192000,Carl Carlson,Hallway,Hmm...
115491,446,20,197000,Homer Simpson,Hallway,Woo-hoo! Our boss is our best buddy!
115492,446,21,201000,Lenny Leonard,Hallway,The nitwits are runnin' the goofhouse!
115493,446,22,203000,Homer Simpson,Hallway,Yeah!
115494,446,23,205000,Homer Simpson,Hallway,"Hey Carl, why aren't you high-fiving?"
115495,446,24,207000,Carl Carlson,Hallway,Y'know... I'd rather save my arm-lifting for tapping gauges or filling out employee evaluations. We can celebrate at Moe's.
115497,446,26,215000,Carl Carlson,Hallway,After work.
115498,446,27,218000,Carl Carlson,Hallway,And the first beer's on me.
115499,446,28,221000,Homer Simpson,Hallway,"You see, he hasn't changed!"
115500,446,29,222000,Carl Carlson,Hallway,Yes I have. In ways you're only beginning to suspect!
115502,446,31,228000,Marge Simpson,Simpson Home,"I call to order this meeting of the ""Springfield Charity Chicks."" As you all know, last year's cake and cookie sale raised one hundred twelve dollars to fight childhood obesity."
115504,446,33,245000,Üter,Bart's Treehouse,"Thank you, Charity Chicks!"
115506,446,35,250000,Marge Simpson,Simpson Home,Now who has ideas for this year's fundraiser?
115507,446,36,253000,Luann Van Houten,Simpson Home,"Well, the police department raised money by selling these beefcake calendars."
115508,446,37,267000,Bernice Hibbert,Simpson Home,"I have a great idea -- let's do what they did, but with us!"
115509,446,38,270000,Agnes Skinner,Simpson Home,We are a good-lookin' bunch.
115511,446,40,274000,LUANNE,Simpson Home,We just need a theme.
115512,446,41,276000,Marge Simpson,Simpson Home,How 'bout history?
115514,446,43,283000,Agnes Skinner,Simpson Home,Then it's set. We'll do it on the twenty-fifth of...
115481,446,44,287000,Agnes Skinner,Simpson Home,...Wiggum.
115516,446,46,291000,Julio,Photo Studio,"Okay, Betsy Ross, bring history to life! Ooo, I love it! Don't stop, don't stop, don't stop! Okay, stop. We got plenty. All right, who's my next sexy historical lady?"
115517,446,47,302000,Marge Simpson,Photo Studio,"I am! The female Tiger Woods of the nineteen-thirties, Babe Didrikson Zaharias."
115518,446,48,309000,Julio,Photo Studio,"Oh, you know Marge, if you want to sell calendars, I'm going to need to see more ""Babe"" and less ""Didrikson Zaharias."""
115519,446,49,309000,Marge Simpson,Photo Studio,Fine. I'll take off one glove.
115520,446,50,319000,Julio,Photo Studio,Hmm... you know what would look super-good? If you held this glass of red wine.
115521,446,51,327000,Marge Simpson,Photo Studio,"Mmmm, I love this wine."
