,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
91386,353,1,52000,Apu Nahasapeemapetilon,Kwik-E-Mart,Call the police.
91387,353,2,55000,Homer Simpson,Kwik-E-Mart,I need change for a dollar.
91388,353,3,58000,Apu Nahasapeemapetilon,Kwik-E-Mart,No change without purchase.
91389,353,4,61000,Homer Simpson,Kwik-E-Mart,What's the cheapest thing you've got?
91390,353,5,63000,Apu Nahasapeemapetilon,Kwik-E-Mart,A two ounce bag of chips. Five ninety-nine.
91391,353,6,68000,Homer Simpson,Kwik-E-Mart,Five ninety-nine?! What a rip-off! Someone should shoot you!
91392,353,7,73000,Marge Simpson,Kwik-E-Mart,I was hoping we'd miss the three o'clock hold-up. I don't know what to do for dinner now.
91393,353,8,78000,Lisa Simpson,Kwik-E-Mart,Maybe we could shop somewhere else. There's a farm stand next door.
91394,353,9,84000,Homer Simpson,Kwik-E-Mart,Interesting. It's like a corndog without the dog.
91395,353,10,89000,Cletus Spuckler,Kwik-E-Mart,Put whatever you want in this burlap sack.
91396,353,11,92000,Brandine Del Roy,Kwik-E-Mart,You may not. That's my baby carrier.
91397,353,12,96000,Brandine Del Roy,Kwik-E-Mart,"They's so traumatized, I'm takin' 'em for a walk in they stroller."
91398,353,13,107000,Lisa Simpson,Kwik-E-Mart,"Well, I think this family should try more vegetarian meals. We'd feel better and live longer."
91399,353,14,112000,Marge Simpson,Kwik-E-Mart,"Vegetables, you've been promoted from side dish to entrée."
91401,353,16,122000,Homer Simpson,Simpson Home,"I don't miss meat at all. This Portobello mushroom eats like a steak. A rubbery, fungus-like steak."
91402,353,17,128000,Homer Simpson,Simpson Home,"Marge, I'm giving birth to a food baby."
91403,353,18,137000,Bart Simpson,Simpson Home,I feel like something crawled inside me and took a crap.
91404,353,19,141000,Marge Simpson,Simpson Home,"Bart, don't use that word... Oh crap."
91406,353,21,156000,Lisa Simpson,Simpson Home,I brought you some weak tea and dry toast.
91407,353,22,158000,Bart Simpson,Simpson Home,"No fair, Lisa didn't get sick."
