,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
72102,284,17,104000,Marge Simpson,PHONE COMPANY,"Wow, everything is so high-tech."
72136,284,18,107000,Female Robot,PHONE COMPANY,Dialing Murray Hill 5-6309.
72137,284,19,110000,Female Robot,PHONE COMPANY,"So I says to Myrna, I says, ""that guy's a bum!"""
72138,284,20,110000,Marge Simpson,PHONE COMPANY,"Ooh, that's the Movie Phone guy."
72139,284,21,118000,Mr. Movie Phone,PHONE COMPANY,"The movie we've selected plays at 8 PM, at Springfield Cinema 6. Thank you for dating Mr. Movie Phone. Our evening will be rated ""R"" for brief nudity."
72140,284,22,129000,Telemarketer,PHONE COMPANY,"Ma'am, would you be interested in changing your long distance service?"
72141,284,23,133000,Telemarketer,PHONE COMPANY,"Huh, what? She hung up on me. What did I do?"
72142,284,24,141000,Lindsay Naegle,PHONE COMPANY,"Hello. I'm your customer service rep, Lindsay Naegle."
72143,284,25,145000,Marge Simpson,PHONE COMPANY,"We've met you many times, Ms. Naegle. Why do you keep changing jobs?"
72144,284,26,149000,Lindsay Naegle,PHONE COMPANY,I'm a sexual predator.
72145,284,27,149000,Marge Simpson,PHONE COMPANY,Oh.
72146,284,28,151000,Lindsay Naegle,PHONE COMPANY,"Now, how may I best dispense with you today?"
72147,284,29,153000,Marge Simpson,PHONE COMPANY,We've been charged for calls to Brazil that we didn't make.
72148,284,30,157000,Homer Simpson,PHONE COMPANY,We are not paying this bill.
72149,284,31,159000,Lindsay Naegle,PHONE COMPANY,"Fine, I'll cut off your service."
72150,284,32,161000,Homer Simpson,PHONE COMPANY,"Fine, I'll cut off your ponytail."
72151,284,33,163000,Marge Simpson,PHONE COMPANY,Homer!
72152,284,34,164000,Homer Simpson,PHONE COMPANY,"Marge, it's called negotiating."
72154,284,36,173000,Homer Simpson,Simpson Home,"Ooo, fascinating."
72155,284,37,173000,Lisa Simpson,Simpson Home,"I need to call Janey, but I can't get a dial tone."
72156,284,38,176000,Marge Simpson,Simpson Home,"We're not paying our bill, so the phone company shut off our service."
72157,284,39,181000,Lisa Simpson,Simpson Home,Why must you fight with every utility?
72158,284,40,183000,Homer Simpson,Simpson Home,"I told you, I have too much time on my hands."
72159,284,41,187000,Lenny Leonard,Simpson Home,"Homer, we were cleaning out a cooling duct at the plant and found a box of old taco shells!"
72160,284,42,193000,Homer Simpson,Simpson Home,Why didn't you call me?
72161,284,43,196000,Lenny Leonard,Simpson Home,Oh we tried. But a recording said you were a bunch of deadbeats.
72162,284,44,201000,Homer Simpson,Simpson Home,That's it. They have awoken a sleeping giant.
72163,284,45,206000,Marge Simpson,Simpson Home,"Homer, what are you going to do?"
72164,284,46,208000,Bart Simpson,Simpson Home,"Crazy scheme, crazy scheme, crazy scheme..."
72165,284,47,210000,Homer Simpson,Simpson Home,Get me tools and beer.
72166,284,48,212000,Bart Simpson,Simpson Home,Yes!
72168,284,50,213000,Homer Simpson,Springfield Street,"Free service, here we come."
72169,284,51,217000,Homer Simpson,Springfield Street,"All right, let's try the red one."
72170,284,52,221000,Homer Simpson,Springfield Street,"Okay, I'll try the green."
72171,284,53,227000,Homer Simpson,Springfield Street,Let's try the red one again.
72172,284,54,229000,Homer Simpson,Springfield Street,Not again! Ow! Let's try 'em together.
72174,284,56,241000,Homer Simpson,Springfield Street,Maybe the red one...
72176,284,58,249000,Homer Simpson,Simpson Home,How did I get here?
72177,284,59,250000,Bart Simpson,Simpson Home,We found you smoldering in the bushes.
72178,284,60,252000,Marge Simpson,Simpson Home,That's it. We're just going to have to pay for that call to Brazil.
72179,284,61,256000,Lisa Simpson,Simpson Home,What call to Brazil?
72180,284,62,258000,Homer Simpson,Simpson Home,The one I didn't make and Marge didn't make and Bart didn't make and hence no one in the house made.
72181,284,63,263000,Lisa Simpson,Simpson Home,Uh-oh.
72182,284,64,264000,Marge Simpson,Simpson Home,You made that call? But you're the good one.
72183,284,65,268000,Homer Simpson,Simpson Home,"Yeah, the one we both like."
72184,284,66,270000,Marge Simpson,Simpson Home,Why did you do it?
72185,284,67,272000,Lisa Simpson,Simpson Home,Please don't be mad. I've been sponsoring an orphan boy in Brazil.
72186,284,68,276000,Marge Simpson,Simpson Home,"Oh, aren't you sweet? Sharing your allowance with a poor Brazilian boy."
72187,284,69,282000,Homer Simpson,Simpson Home,Don't you know the boys from Brazil are little Hitlers? I saw it in a movie. Whose name I can't remember.
72188,284,70,289000,Lisa Simpson,Simpson Home,"Ronaldo used to send me a letter every month, but then they stopped. That's why I called the orphanage, but they said he'd disappeared."
72189,284,71,295000,Marge Simpson,Simpson Home,How come you talked for four hundred dollars?
72190,284,72,298000,Lisa Simpson,Simpson Home,"Well, then they started pressuring me for more donations. And you can't hang up on a nun."
72191,284,73,304000,Marge Simpson,Simpson Home,That's right. They have powers.
72192,284,74,309000,Lisa Simpson,Simpson Home,"When I sent my first donation, the charity mailed me this video."
72193,284,75,315000,Ronaldo,Simpson Home,"Hi, Lisa. Thank you for your donation. Because of your generosity, I bought sturdy shoes that will last for a thousand sambas."
72194,284,76,328000,Lisa Simpson,Simpson Home,Awww.
72195,284,77,329000,Marge Simpson,Simpson Home,He's so adorable. Can we have another baby?
72196,284,78,333000,Homer Simpson,Simpson Home,No way. I still haven't lost the weight I put on from the last one.
72198,284,79,337000,Ronaldo,Simpson Home,"And with the money left over, the orphanage was able to buy a door."
72199,284,80,341000,Ronaldo,Simpson Home,Now the monkeys cannot bite me. Uh-oh.
72200,284,81,350000,Ronaldo,Simpson Home,I am like sugar to them.
72201,284,82,355000,Homer Simpson,Simpson Home,"Oh, that poor little boy. We've got to find him."
72202,284,83,358000,Homer Simpson,Simpson Home,How many people live in Brazil?
72203,284,84,360000,Lisa Simpson,Simpson Home,A hundred and fifty-six million.
72205,284,86,363000,Bart Simpson,Simpson Home,"Well, we've got to find him! What? I'm really concerned. Fine, I want to meet monkeys."
72206,284,87,371000,Marge Simpson,Simpson Home,"I don't know, it's awfully expensive to fly to Brazil."
72207,284,88,375000,Lisa Simpson,Simpson Home,"Not if we buy our tickets on the internet. It's really cheap if we change planes in Phoenix, Honolulu, Sun City, and East St. Louis, spend a night in a haunted house and leave right now."
72208,284,89,384000,Homer Simpson,Simpson Home,Then it's settled. The Simpsons are going to Brazil.
72209,284,90,388000,Bart Simpson,Simpson Home,Then I'll have been on every continent.
72210,284,91,390000,Lisa Simpson,Simpson Home,Except Antarctica.
72211,284,92,391000,Homer Simpson,Simpson Home,"The Simpsons are going to Antarctica. Next year. This year, Brazil."
72214,284,95,403000,Lisa Simpson,Brazilian Airplane,"Okay, here's some travel tips: only drink bottled water... don't get into an unlicensed taxi... and remember, they have winter during our summer."
72215,284,96,412000,Homer Simpson,Brazilian Airplane,"Wait, wait, wait, wait, wait. So in August... it's cold?"
72216,284,97,416000,Lisa Simpson,Brazilian Airplane,That's right.
72217,284,98,417000,Homer Simpson,Brazilian Airplane,And in February... it's hot?
72218,284,99,419000,Lisa Simpson,Brazilian Airplane,Mm-hmm.
72219,284,100,420000,Homer Simpson,Brazilian Airplane,"So it's opposite land. Crooks chase cops, cats have puppies..."
72220,284,101,426000,Lisa Simpson,Brazilian Airplane,"No Dad, it's just the weather."
72221,284,102,428000,Homer Simpson,Brazilian Airplane,So hot snow falls up?
72222,284,103,430000,Lisa Simpson,Brazilian Airplane,Yes.
72223,284,104,431000,Homer Simpson,Brazilian Airplane,Woo hoo!
72224,284,105,436000,Bart Simpson,Brazilian Airplane,"Get ready, Brazil. I now speak fluent Spanish."
72225,284,106,440000,Marge Simpson,Brazilian Airplane,"Well done Bart, but in Brazil they speak Portuguese."
72226,284,107,444000,Bart Simpson,Brazilian Airplane,"Ay caramba, que mujer tonta! Veinte horas estudiar por nada!"
72227,284,108,448000,Homer Simpson,Brazilian Airplane,"Forget every word, boy. It's useless."
72228,284,109,450000,Marge Simpson,Brazilian Airplane,But Homer...
72197,284,110,451000,Homer Simpson,Brazilian Airplane,I said forget it!
71810,284,111,456000,Bart Simpson,Brazilian Airplane,All gone.
72229,284,113,459000,Pilot,Brazilian Airplane,"This is your Captain speaking. The local temperature in Rio de Janeiro is hot, hot, hot, with a hundred per cent chance of passion."
72231,284,115,466000,Co-pilot,Cockpit,"Bernardo, you make that joke every time."
72232,284,116,469000,Pilot,Cockpit,It was that joke that made you fall in love with me.
72234,284,118,475000,Patty Bouvier,Patty and Selma's Apartment,"Hey Maggie, how ya doin' back there?"
72235,284,119,483000,Patty Bouvier,Patty and Selma's Apartment,"Oh, so helpless."
72237,284,121,489000,Lisa Simpson,Rio de Janeiro,"Look, it's the giant statue of Christ on Corcovado."
72238,284,122,492000,Homer Simpson,Rio de Janeiro,Wow. It's like He's on the dashboard of the entire country.
72239,284,123,497000,Marge Simpson,Rio de Janeiro,It says here we can get anywhere we want by taking a conga line.
72240,284,124,502000,Homer Simpson,Rio de Janeiro,"Way ahead of you, Marge."
72241,284,125,505000,Homer Simpson,Rio de Janeiro,TAKE ME TO THE HOTEL / MY HANDS ARE ON A GUY'S ASS / BOY THIS DUDE MUST WORK OUT...
72243,284,127,515000,Lisa Simpson,Hotel,Hey! Hey!
72245,284,129,523000,Bart Simpson,Hotel Lobby,"Boy, they sure love soccer here."
