,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
144861,558,6,38000,Seymour Skinner,Springfield Elementary School,"Students, each one of you has been assigned the mandatory honor of contributing to the Springfield Time Capsule...where your arcana will lie dormant until the thirty-first century...and..."
144862,558,7,49000,Gary Chalmers,Springfield Elementary School,"By the time you finish talking, we're gonna be opening this damn capsule."
144863,558,8,55000,Seymour Skinner,Springfield Elementary School,Right. Time capsule. Nelson. Give me something.
144864,558,9,57000,Nelson Muntz,Springfield Elementary School,I brought a picture of my Dad!
144865,558,10,59000,Nelson Muntz,Springfield Elementary School,He's still at large... in my heart.
144866,558,11,63000,Milhouse Van Houten,Springfield Elementary School,I brought my lucky rabbit's foot. I can have good luck without it.
144867,558,12,68000,Milhouse Van Houten,Springfield Elementary School,Ow!
144868,558,13,69000,Nelson Muntz,Springfield Elementary School,Wish we could put this moment in the time capsule.
144869,558,14,72000,Gary Chalmers,Springfield Elementary School,Consider it done.
144870,558,15,77000,Seymour Skinner,Springfield Elementary School,"How about you, Bart? Let me guess, you forgot to bring something."
144871,558,16,81000,Bart Simpson,Springfield Elementary School,I'm offended you think I forgot. Let's see...
144872,558,17,86000,Bart Simpson,Springfield Elementary School,Ta-da!
144873,558,18,88000,Gary Chalmers,Springfield Elementary School,"Listen boy, this is the only legacy you'll ever leave."
144874,558,19,91000,Bart Simpson,Springfield Elementary School,Better make this count.
144876,558,21,95000,Marge Simpson,Simpson Kitchen,My sandwich!
144879,558,24,98000,Mayor Joe Quimby,Springfield Town Square,"And so a thousand years from now, this capsule will be opened by some future Mayor Quimby."
144880,558,25,111000,C. Montgomery Burns,Springfield Town Square,That-that could be anyone's ooze!
144882,558,27,123000,Groundskeeper Willie,Springfield Town Square,There.
144883,558,28,125000,Mayor Joe Quimby,Springfield Town Square,"And now, to help secure the jazz vote...Liser Simpson will play her saxophone."
144821,558,29,136000,Mayor Joe Quimby,Springfield Town Square,Even God hates jazz!
144884,558,31,139000,Kent Brockman,Simpson Home,"A mysterious electrical storm is currently wreaking havoc with our studio. But I'm not one of those brainless dolts who mindlessly reads a teleprompterrrrr, error four-oh-one, backslash backslash, colon, reset C-drive, shutting down!"
144886,558,33,160000,Homer Simpson,Simpson Home,What the hell was that?!
144887,558,34,160000,Lisa Simpson,Simpson Home,Probably just another piece of America's space junk falling out of orbit.
144888,558,35,164000,Bart Simpson,Simpson Home,Remember when this country didn't suck? 'Cause I don't.
144890,558,37,177000,Marge Simpson,Simpson Home,Homer! Homer. I think there's someone downstairs.
144891,558,38,180000,Homer Simpson,Simpson Home,"Relax, Marge. It's probably just Homer comin' home late from Moe's."
144892,558,39,190000,Homer Simpson,Simpson Home,The eyes in that picture are following me.
144893,558,40,193000,Bart Simpson,Simpson Home,"Uh, that's a mirror."
144894,558,41,195000,Homer Simpson,Simpson Home,Isn't all great art kind of a mirror?
144895,558,42,202000,Homer Simpson,Simpson Home,"We'd better send the dog down. Come on. Here's your chance to protect us, boy. Come on."
144897,558,44,209000,Homer Simpson,Simpson Home,Stupid dog!
144900,558,47,216000,Bender,Simpson Home,Ow!
144901,558,48,220000,Homer Simpson,Simpson Home,"We'll have to set a trap, bait. I mean, Bart."
144902,558,49,231000,Homer Simpson,Simpson Home,"All set. When he starts gnawing at you, I'll whack him with this broom."
144906,558,53,242000,Homer Simpson,Simpson Home,Don't drink my loved ones!
144908,558,55,246000,Bender,Simpson Home,Bite my shiny metal ass!
144909,558,56,249000,Homer Simpson,Simpson Home,A robot with a catchphrase!
144910,558,57,251000,Bart Simpson,Simpson Home,"Hey Homer, you gonna kiss him or kill him?"
144912,558,59,255000,Bender,Simpson Home,All right! Tether-boy!
144914,558,61,265000,Homer Simpson,Simpson Home,"Okay, so what are you?"
144915,558,62,266000,Bart Simpson,Simpson Home,Must be a secret government project.
144916,558,63,268000,Bender,Simpson Home,"Oh, what do I look like, a narc? My name is Bender and I come from..."
144917,558,64,274000,Bender,Simpson Home,...the future!
144918,558,65,276000,Homer Simpson,Simpson Home,Prove it. What happens to Homer Simpson in the future?
144919,558,66,279000,Bender,Simpson Home,I don't know. You die?
144920,558,67,281000,Homer Simpson,Simpson Home,Oh. My. God. He's telling the truth. I have to take you to our civic leaders.
144922,558,69,292000,Moe Szyslak,Moe's Tavern,"Hey, Hibachi head. How're you gonna pay for that?"
144923,558,70,295000,Bender,Moe's Tavern,"Uh... let me just transfer some, uh, electronic hyper-credits into your register here."
