recorrido;1
casado;2
diste;1
recargué;1
volantines;1
interceda;2
sentí;14
puerto;1
precio;2
casada;1
senté;4
principio;2
mandaban;1
refrescado;1
lienzo;3
convidados;1
lomas;3
paja;1
desearía;2
sentó;3
puerta;52
reclamo;1
servicio;1
sorbido;1
parecía;10
traiga;1
traigo;5
madruga;1
siglos;5
pedirás;1
repleto;1
alcanzado;1
obregón;1
poquitos;1
atrevía;1
contártelo;1
sabrá;2
descombrado;1
prender;2
muslos;1
necesitado;1
caritativas;1
redondos;1
añejita;1
bien;48
dolió;2
filomeno;1
quedarse;5
anegué;1
trojes;2
bermeja;1
nubes;13
pelotón;1
muriera;2
cerrara;1
quebró;1
descomponían;1
varas;1
retozando;1
estaban;20
gruesos;1
estabas;5
soplaba;1
calentando;1
retuvieron;1
platicador;1
asesinando;1
importancia;1
pongas;1
soñando;2
sigues;2
calladas;1
añadió;6
solas;2
yerbas;2
morder;1
juntaba;1
los;358
dolor;10
comenzaba;6
brincos;2
necesita;5
enseñar;1
siguen;3
arrastramos;1
dificultad;1
oscurecer;2
pilar;1
necesito;8
zangolotearan;1
toronjil;1
acarreaba;1
planchaste;1
hacerles;1
tragado;1
acusándolo;1
relámpagos;1
miel;2
campana;1
ante;3
través;6
pascual;1
otros;22
juntado;2
mantenimiento;1
atento;1
dan;4
avergonzada;1
enciende;1
dar;24
das;1
guayabas;1
convulsiones;1
comenzaremos;1
taparme;1
corre;2
inquieto;1
juguete;1
clavaba;1
sacudía;2
imaginar;2
vinieras;1
entiendes;1
cierto;11
pausa;1
hinchadas;1
inquieta;1
diciembre;1
vinieran;2
fácil;4
caporales;1
pegados;1
castilla;1
fervor;1
quedaron;2
tanteando;1
culpas;1
pistola;1
risotada;1
infinidad;2
duelo;2
galopa;1
taparon;1
aflojar;1
escoger;1
rastras;1
sonidos;3
acuerdo;8
creciendo;1
ventanilla;1
pasa;8
iría;2
ahorcaron;1
escogen;1
rebotado;1
reconocía;1
para;221
añicos;1
dora;1
duele;1
alojamiento;1
galope;2
deseos;1
cierre;1
cierra;1
necesitaba;2
demuestra;1
ansí;1
parece;19
realmente;1
vaciado;1
exprimido;1
espantar;1
anduviéramos;1
escondes;1
convirtió;2
hambre;5
lentamente;2
recorrerse;1
hundiendo;1
ladraban;1
beberé;1
dispareja;1
del;158
apagada;1
