,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
19402,99,1,11000,Homer Simpson,Springfield Nuclear Power Plant,Lousy job. Nothing exciting ever happens.
19403,99,2,40000,GAME SHOW MAN,Springfield Nuclear Power Plant,Congratulations Homer Simpson! You've just won the employee raffle!
19404,99,3,44000,Homer Simpson,Springfield Nuclear Power Plant,Woo hoo! What do I get?
19405,99,4,47000,GAME SHOW MAN,Springfield Nuclear Power Plant,The job of industrial chimney sweep for a day!
19406,99,5,52000,Homer Simpson,Springfield Nuclear Power Plant,Woo hoo!
19407,99,6,58000,Homer Simpson,Springfield Nuclear Power Plant,"Hey, this isn't such a great prize. Oh, well, this may be a dirty job, but the big guys at the top work even harder."
19409,99,8,75000,C. Montgomery Burns,Burns's Private Bathroom,Will five o'clock never come?
19410,99,9,83000,C. Montgomery Burns,Burns's Private Bathroom,"Careful, Smithers, that sponge has corners you know."
19412,99,10,86000,Waylon Smithers,Burns's Private Bathroom,I'll go find a spherical one.
19413,99,11,86000,C. Montgomery Burns,Burns's Private Bathroom,"Help, Smithers! I'm sinking! I'm sinking! Life... flashing... before...eyes."
19414,99,12,108000,Baby Burns,Burns's Private Bathroom,You fired!
19415,99,13,110000,Teenage Burns,Burns's Private Bathroom,Dance!
19416,99,14,110000,Teenage Burns,Burns's Private Bathroom,Dance!
19417,99,15,119000,Greenpeace Hippie #1,Burns's Private Bathroom,"All right, we're finally gonna stop those corporate pigs from dumping that nuclear waste."
19418,99,16,129000,Greenpeace Hippie #2,Burns's Private Bathroom,"Oh no, our boat is sinking."
19419,99,17,132000,C. Montgomery Burns,Burns's Private Bathroom,"It was I, you fools! The man you trusted isn't Wavy Gravy at all!"
19420,99,18,134000,C. Montgomery Burns,Burns's Private Bathroom,And all this time I've been smoking harmless tobacco.
19421,99,19,142000,Waylon Smithers,Burns's Private Bathroom,"I got a mink shammy, sir. I hope that... Oh my god, Mr. Burns is dead! Why do the good always die so young?!"
19422,99,20,160000,C. Montgomery Burns,Burns's Private Bathroom,You almost killed me!
19423,99,21,164000,Waylon Smithers,Burns's Private Bathroom,Please... sir! You'll catch cold.
19425,99,23,172000,C. Montgomery Burns,Burns's Office,"Smithers, do you realize, if I had died there would be no one to carry on my legacy? Due to my hectic schedule and lethargic sperm, I never fathered an heir. Now I have no one to leave my enormous fortune to. No one."
19427,99,25,188000,C. Montgomery Burns,Burns's Office,"You, Smithers? Oh no, my dear friend, I've planned a far greater reward for you. When I pass on, you shall be buried alive with me."
19428,99,26,202000,Waylon Smithers,Burns's Office,Oh... goody.
19431,99,29,209000,Grampa Simpson,Theater,Turn it up! Turn it up!
