,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
54273,226,1,86000,Homer Simpson,Simpson Home,"Hey, why didn't you tell me the new issue of ""Weird"" was here?! I love their hilarious send-ups of hit movies."
54274,226,2,94000,Lisa Simpson,Simpson Home,"Dad, it's not..."
54275,226,3,94000,Homer Simpson,Simpson Home,"""Gigabytes!"" They've done it again. Gigabytes. Wait, this isn't ""Weird."" Why, there's no magazine called ""Weird,"" is there?"
54276,226,4,103000,Lisa Simpson,Simpson Home,"This is ""Wired."" It's about computers and technology."
54277,226,5,109000,Lisa Simpson,Simpson Home,"Hey look, there's a cyber-cafe opening right here in Springfield! Will you take me, Dad? Please? I'll show you how to order pizza over the Internet..."
54278,226,6,117000,Homer Simpson,Simpson Home,The Internet? Is that thing still around?
54279,226,7,119000,Bart Simpson,Simpson Home,I know a web site that shows monkeys doin' it.
54280,226,8,121000,Lisa Simpson,Simpson Home,Bart! The Internet is more than a global pornography network. It's a...
54281,226,9,124000,Homer Simpson,Simpson Home,"Come on, Lisa! Monkeys!"
54284,226,12,133000,Groundskeeper Willie,The Java Server,"Ach, let's see what's been captured on the Up-Kilt camera."
54285,226,13,139000,Groundskeeper Willie,The Java Server,"Ewww, this lass needs a bit of groundskeeping. Eh-- Ach, that's Willie!"
54286,226,14,145000,Bart Simpson,The Java Server,"My name is Mary. I'm 45, heavy and willing to settle for less."
54287,226,15,152000,Lenny Leonard,The Java Server,"Wow, this Mary's got the whole package."
54288,226,16,155000,Lisa Simpson,The Java Server,"Wow, Dad, you're surfing like a pro."
54289,226,17,158000,Homer Simpson,The Java Server,"Oh yeah. I'm betting on Jai-Alai in the Cayman Islands, I invested in something called News Corp..."
54290,226,18,164000,Lisa Simpson,The Java Server,"Dad, that's Fox!"
54291,226,19,164000,Homer Simpson,The Java Server,Ahh! Undo! Undo! Uhh.
54292,226,20,164000,Lisa Simpson,The Java Server,"Dad, do we have any money left?"
54293,226,21,170000,Homer Simpson,The Java Server,"Well, let's check the old bank account."
54294,226,22,173000,Homer Simpson,The Java Server,See? Even after all my cyber-squandering we've still got twelve hundred dollars.
54295,226,23,178000,Snake Jailbird,The Java Server,"All right, dorks. This is a hold-up!"
54296,226,24,181000,Snake Jailbird,The Java Server,"Oh, yes. Download to papa."
54297,226,25,187000,Snake Jailbird,The Java Server,"Yoink dot adios, backslash losers!"
54300,226,28,193000,Marge Simpson,Simpson Home,We were robbed?!
54301,226,29,194000,Homer Simpson,Simpson Home,"You seem to know an awful lot about this for an ""innocent person."""
54302,226,30,199000,Marge Simpson,Simpson Home,We were saving that money for our family vacation. Now we're gonna have to start all over again.
54303,226,31,206000,Homer Simpson,Simpson Home,"Ohh, don't worry, sweetheart, I'll get us the money. Even if I have to get a second job."
54305,226,33,220000,Ned Flanders,Flanders Home,"Evening, neighbor. Low on funds again?"
54306,226,34,222000,Homer Simpson,Flanders Home,"Yes, sir."
54307,226,35,224000,Ned Flanders,Flanders Home,"Now, Homer, we can't have you burglarizing us every time you've got a bill to pay."
54308,226,36,228000,Homer Simpson,Flanders Home,"I know, sir. I'm sorry, sir."
54309,226,37,232000,Homer Simpson,Flanders Home,"It's just that you and Maude live like royalty in your fancy castle, while I got Marge trapped over there like a pig in a mud beehive."
54311,226,38,239000,Ned Flanders,Flanders Home,"Oh, we're not as well-off as you think. We give to eight different churches, just to hedge our bets. And the Leftorium's business has gone way downhill since Leftopolis moved in next door."
54312,226,39,249000,Homer Simpson,Flanders Home,"Well, if you're not rich then how come you have a new refrigerator, an electric can opener, a milkshake machine..."
54313,226,40,255000,Ned Flanders,Flanders Home,"Oh-ho-ho, we picked those up cheap. They were evidence in a murder trial!"
54314,226,41,256000,Homer Simpson,Flanders Home,Sweet.
54315,226,42,259000,Ned Flanders,Flanders Home,We got that tip at the Chuck Garabedian Mega-Savings Seminar.
54316,226,43,262000,Homer Simpson,Flanders Home,Go on...
54317,226,44,263000,Ned Flanders,Flanders Home,He taught us how to live a Burt Reynolds lifestyle on a Mac Davis income. We've already got tickets for his next seminar.
54318,226,45,269000,Ned Flanders,Flanders Home,I think you'll find living thrifty a lot more satisfying than stealing.
54319,226,46,273000,Homer Simpson,Flanders Home,"Maybe you're right, Ned. Maybe you're right."
54322,226,49,285000,GARABEDIAN,Springfield Convention Center,"Are you tired of missing out on the good things in life? Family vacations, jet packs, Solid Gold dancers..."
54323,226,50,292000,Homer Simpson,Springfield Convention Center,There's only three left in the world!
54324,226,51,294000,GARABEDIAN,Springfield Convention Center,"Well, stick around, 'cause I'm gonna tell you the twelve savings secrets Wall Street won't tell you. Then, I'll show you the three ways to get back to the highway. Including one shortcut those Wall Street fat cats don't want you to know!"
54326,226,53,310000,C. Montgomery Burns,Springfield Convention Center,"Oh, here we go with the fat-cat bashing."
54327,226,54,313000,Mr. Pennybags,Springfield Convention Center,"Well, what do you expect? These yokels are pure ""Baltic Avenue."" Uh-oh, I'm late for the Short Line Railroad."
54328,226,55,323000,GARABEDIAN,Springfield Convention Center,Let's start with mega-secret number one: ya gotta squeeze every penny! You see this tux? I got it cheap 'cause Roy Cohn died in it.
54329,226,56,333000,Crowd,Springfield Convention Center,/ Ooh.
54330,226,57,333000,GARABEDIAN,Springfield Convention Center,"That fancy yacht? A bargain, 'cause it smells like cat pee."
54331,226,58,339000,Crowd,Springfield Convention Center,"/ Oh, now that is something."
54332,226,59,339000,GARABEDIAN,Springfield Convention Center,And those beautiful women? They used to be men.
54333,226,60,342000,Crowd,Springfield Convention Center,/ Ew! / That's gross!
54334,226,61,342000,GARABEDIAN,Springfield Convention Center,"The point is, ya gotta squeeze every penny! C'mon, let me hear ya!"
54335,226,62,347000,Crowd,Springfield Convention Center,Squeeze every penny! Squeeze every penny!
