,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
36502,164,2,37000,Agnes Skinner,Municipal House of Pancakes,They say the pancakes here stink.
36503,164,3,40000,Helen Lovejoy,Municipal House of Pancakes,"Thank you, Agnes. Let's begin. I'm happy to report that our shares in Dynaflux Unimatics are up a delicious 7 and 3/4! This means our investment club portfolio has nearly doubled in value!"
36505,164,5,56000,Helen Lovejoy,Municipal House of Pancakes,"I suggest we pump our profits into some new, high-risk ventures."
36506,164,6,60000,Edna Krabappel-Flanders,Municipal House of Pancakes,"Oh, oh! How about OklaSoft? It's Oklahoma's fastest-growing software company."
36507,164,7,64000,Maude Flanders,Municipal House of Pancakes,Um -- cushions! Everybody likes to sit on cushions.
36508,164,8,67000,Agnes Skinner,Municipal House of Pancakes,Children are so fat today. Isn't there some way we could make money off that?
36509,164,9,71000,Helen Lovejoy,Municipal House of Pancakes,There's a Franchise Fair this weekend. Why don't we buy a business?
36511,164,11,79000,Marge Simpson,Municipal House of Pancakes,I'm not wild about these high-risk ventures. They sound a little risky.
36512,164,12,85000,Maude Flanders,Municipal House of Pancakes,"Oh, Marge, you are such a wet blanket..."
36513,164,13,87000,Edna Krabappel-Flanders,Municipal House of Pancakes,"If we'd listened to you, we wouldn't have sponsored that Mexican wrestler!"
36514,164,14,90000,Agnes Skinner,Municipal House of Pancakes,Yet she still gets to share in all the profits!
36516,164,16,95000,Marge Simpson,Municipal House of Pancakes,"I guess I'm just not comfortable with the whole idea of ""investing""..."
36517,164,17,95000,Luann Van Houten,Municipal House of Pancakes,"Mmm, face it. You can't keep up with the go-go 90's."
36518,164,18,103000,Helen Lovejoy,Municipal House of Pancakes,"Well, Marge, you're about as popular as a rugburn! All in favor of expelling Marge from the Investorettes?"
36519,164,19,110000,Women,Municipal House of Pancakes,Aye!
36520,164,20,112000,Marge Simpson,Municipal House of Pancakes,"All right, Helen, if I'm not wanted, I'll leave."
36521,164,21,117000,Helen Lovejoy,Municipal House of Pancakes,You'll get your pancakes in the mail.
36523,164,23,118000,Marge Simpson,Simpson Home,...and then they gave me back my 500 dollar investment and kicked me out of the club.
36524,164,24,125000,Homer Simpson,Simpson Home,"Wait, wait, wait, wait, wait -- back up a bit now. When are the pancakes coming in the mail?"
36525,164,25,130000,Marge Simpson,Simpson Home,"Well, maybe it's all for the best..."
36526,164,26,132000,Homer Simpson,Simpson Home,"What do you need to make money for anyway? As long as I have my earning power, this family's got nothing to worry about."
36527,164,27,138000,Homer Simpson,Simpson Home,Ow! Oh! Call work and tell 'em I won't be in tomorrow.
36528,164,28,143000,Lisa Simpson,Simpson Home,"Mom, this is no time to be conservative. Let's roll the dice here."
36529,164,29,146000,Marge Simpson,Simpson Home,It would be nice to beat those women at their own game. Maybe I should look into a franchise.
36531,164,31,157000,Robot,Springfield Convention Center,"Greetings, humans. I am Investo the Robot, from the planet Opportuniac. My superior brain advises you to enter the Franchise Fair."
36532,164,32,167000,Marge Simpson,Springfield Convention Center,"Well, we're trying to, but you're blocking our way."
36533,164,33,169000,Robot,Springfield Convention Center,Danger! Danger! Don't forget to pick up pamphlets!
36534,164,34,173000,Bart Simpson,Springfield Convention Center,I'll handle this.
36535,164,35,183000,Robot,Springfield Convention Center,"Help, help. Help. Security code 30."
