,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
88158,341,1,1315000,Marge Simpson,Springfield Air and Space Museum,I can't believe Mr. Burns reserved the entire museum just for an office party.
88159,341,2,1315000,Lisa Simpson,Springfield Air and Space Museum,It doesn't seem fair to the regular visitors.
88160,341,3,1315000,Brandine Del Roy,Springfield Air and Space Museum,We drove eighteen hours to come here.
88161,341,4,1315000,Cletus Spuckler,Springfield Air and Space Museum,"On the plus side, this rope is mighty soft. Hm, touch it, kids."
88162,341,5,1315000,Homer Simpson,Springfield Air and Space Museum,Par-ty! Par-ty! Par-ty!
88163,341,6,1315000,Marge Simpson,Springfield Air and Space Museum,"Homer, these are people you work with. Show some restraint."
88164,341,7,1315000,Homer Simpson,Springfield Air and Space Museum,Re-straint! Re-straint! Re-straint!
88165,341,8,1315000,Homer Simpson,Springfield Air and Space Museum,"Lighten up, Marge. This is my chance to relax with people from work I never get to see. Like this guy."
88166,341,9,1315000,Man,Springfield Air and Space Museum,I'm your supervisor!
88167,341,10,1315000,Homer Simpson,Springfield Air and Space Museum,Really? How'm I doin'?
88168,341,11,1315000,C. Montgomery Burns,Springfield Air and Space Museum,"Well, well, if it isn't my favorite employee and his spouse. And these must be children. Have a ginger root."
88169,341,12,1315000,Lisa Simpson,Springfield Air and Space Museum,Mr. Burns acting nice? That's odd. He must be up to something.
88170,341,13,1315000,Bart Simpson,Springfield Air and Space Museum,"Lis, Mr. Burns is the sweetest, kindest man I know."
88171,341,14,1315000,Lisa Simpson,Springfield Air and Space Museum,How many men do you know?
88172,341,15,1315000,Bart Simpson,Springfield Air and Space Museum,Basically him and Dad.
88174,341,17,1315000,Homer Simpson,AIR MUSEUM,"Nice tux, Moe."
88175,341,18,1315000,Moe Szyslak,AIR MUSEUM,"Yeah thanks. I bought this for my funeral. It ain't got no back, so don't make me turn around."
88177,341,20,1315000,Moe Szyslak,AIR MUSEUM,"Hey, I'm payin' for a silk-lined coffin. And dammit, I'm gonna feel it!"
88179,341,22,1315000,Announcer,Springfield Air and Space Museum,"Since the dawn of aviation, man has built museums dedicated to the history of flight, and created audio-visual materials to orient visitors to those museums."
88180,341,23,1315000,Announcer,Springfield Air and Space Museum,From the hand-drawn flip book at the Wright Brothers' museum...
88181,341,24,1315000,Announcer,Springfield Air and Space Museum,To the IMAX movie at Cape Canaveral...
88182,341,25,1315000,Announcer,Springfield Air and Space Museum,Aviation museum audio-visual materials have taken patrons and docents alike on a rocket ride to comprehension. This is the story of those materials.
88183,341,26,1315000,Homer Simpson,Springfield Air and Space Museum,"Hey, it's a guy in a goofy Burns head!"
88184,341,27,1315000,Homer Simpson,Springfield Air and Space Museum,Act like Burns!
88185,341,28,1315000,Homer Simpson,Springfield Air and Space Museum,That's him to a T!
88187,341,30,1315000,Tour Guide,Tarmac,"Here we have a vintage film of the original Springfield Wing Walkers, including our own Agnes Skinner."
88188,341,31,1315000,Homer Simpson,Tarmac,"Wow, a wooden plane. It's about time trees were good for something, instead of just standing there like jerks."
88189,341,32,1315000,Lisa Simpson,Tarmac,"""The Plywood Pelican was larger than a football field. It weighs more than the state of New Hampshire. It was only flown once, by its creator, Mr. C. Montgomery Burns."""
88190,341,33,1315000,C. Montgomery Burns,Tarmac,I flew it at an altitude of six feet for a distance of four-and-a-half feet. Then we discovered rain makes it catch fire. Then the Führer fired me.
88191,341,34,1315000,Homer Simpson,Tarmac,What a magical party this has been. Mr. Burns is a great man.
88192,341,35,1315000,Marge Simpson,Tarmac,I've got a bad feeling about all of this.
88193,341,36,1315000,Homer Simpson,Tarmac,"C'mon, Marge. This place is great. Free admission, great grub and we got to use the bathroom of the future."
