,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
25942,124,2,41000,Milhouse Van Houten,Bus,This bus has seen better days.
25943,124,3,44000,Bart Simpson,Bus,"Well, at least it's safer than the old bus."
25945,124,5,52000,Milhouse Van Houten,Springfield Elementary School Parking Lot,"Uh oh, time to move. The hole's gettin' bigger."
25946,124,6,60000,Edna Krabappel-Flanders,Springfield Elementary School Parking Lot,"Seymour, the children are playing in the hole again. Shouldn't you get that fixed?"
25947,124,7,65000,Seymour Skinner,Springfield Elementary School Parking Lot,"Edna, you know they just cut the school's budget. Besides, if I had the money, I'd fix the exhaust leak in the back. Frankly, I think it's causing some of our low test scores."
25949,124,9,79000,Seymour Skinner,Highway,"All right, the battlefield is just a half mile ahead. Begin braking procedure!"
25951,124,11,90000,Tour Guide,BATTLEFIELD ENTRANCE,"This civil war cannon has been fully restored and is in ready-to-fire condition. But it's a good thing we're not firing it, because it happens to be aimed at the main support leg of that lookout tower."
25952,124,12,103000,Tour Guide,BATTLEFIELD ENTRANCE,People don't realize that these cannons are very sensitive and the slightest jolt could set them off.
25953,124,13,112000,Tour Guide,BATTLEFIELD ENTRANCE,"Of course, for safety reasons, we don't keep the cannon loaded. It's just common sense."
25954,124,14,120000,Seymour Skinner,BATTLEFIELD ENTRANCE,"Otto, why don't you get some more gas. Here's the 'credit card.'"
25955,124,15,127000,Seymour Skinner,BATTLEFIELD ENTRANCE,...and a mint for afterwards.
25957,124,17,129000,Seymour Skinner,HISTORICAL SITE,Five dollars a child?! Last year it was free.
25958,124,18,132000,Ticket Lady,HISTORICAL SITE,Hmh. New ownership.
25959,124,19,138000,Seymour Skinner,HISTORICAL SITE,"Bu..but we don't have that kind of money. In fact, no school could afford to..."
25960,124,20,149000,Shelbyville Principal,HISTORICAL SITE,"Here's the admission, plus, uh something for you. See that they get a little extra education, would you?"
25961,124,21,156000,Ticket Lady,HISTORICAL SITE,"Yes sir, Principal Valiant!"
25962,124,22,158000,Seymour Skinner,HISTORICAL SITE,"He thinks he's so hot ever since he swept the ""princi"" awards. Those things are rigged."
25965,124,24,163000,Narrator,BATTLEFIELD RE-CREATION,"On May 21, 1864, the men of the Ninth Bearded Infantry were sunning and fluffing their beards in the sun. Suddenly, enemy troops crested that hill over there."
25966,124,25,177000,Enemy Soldier #1,BATTLEFIELD RE-CREATION,"Fort Springfield, we surrender unconditionally!"
25967,124,26,180000,Enemy Soldier #2,BATTLEFIELD RE-CREATION,"We're sick. We need leeches, and hack saws to saw off our gangrenous limbs!"
25968,124,27,185000,Narrator,BATTLEFIELD RE-CREATION,But the Springfield brigade was too brave to accept the surrender...
25969,124,28,190000,Soldier #1,BATTLEFIELD RE-CREATION,"Come on, boys! Those white flags are no match for our muskets!"
25970,124,29,193000,Soldier #2,BATTLEFIELD RE-CREATION,Charge!
25971,124,30,195000,Narrator,BATTLEFIELD RE-CREATION,... And the Springfielders heroically slaughtered their enemies as they prayed for mercy.
25972,124,31,205000,Bart Simpson,BATTLEFIELD RE-CREATION,It's hard to see what's going on. I can only make out the fat soldiers.
25973,124,32,209000,Seymour Skinner,BATTLEFIELD RE-CREATION,"All right children, switch."
25974,124,33,211000,Soldier #3,BATTLEFIELD RE-CREATION,"Hey, they're trying to learn for free!"
25975,124,34,214000,Narrator,BATTLEFIELD RE-CREATION,Get 'em!
25976,124,35,217000,Soldier #4,BATTLEFIELD RE-CREATION,Use your phony guns as clubs!
25977,124,36,219000,Seymour Skinner,BATTLEFIELD RE-CREATION,Run children!
25978,124,37,221000,Seymour Skinner,BATTLEFIELD RE-CREATION,Start the bus Otto!! Start the bus!!
25980,124,39,224000,Otto Mann,Parking Lot,Damn. I shouldn't have eaten the mint first.
25981,124,40,229000,Otto Mann,Parking Lot,"Okay, hop on!"
25982,124,41,233000,Üter,Parking Lot,Wait! Wait!
25984,124,43,234000,Edna Krabappel-Flanders,Bus,"Well Seymour, because of your penny pinching, we're coming back from a field trip with the fewest children yet."
25985,124,44,250000,Seymour Skinner,Bus,God bless the man who invented permission slips.
25987,124,46,254000,Bart Simpson,Springfield Elementary School Cafeteria,"Ah, I think I got your lunch."
25988,124,47,260000,Lisa Simpson,Springfield Elementary School Cafeteria,"Oh, yeah. I didn't think this was for me."
25989,124,48,265000,Edna Krabappel-Flanders,Springfield Elementary School Cafeteria,"Seymour, the teachers are fed up. You have to start putting money back into the school. You've cut back on everything: salaries, supplies, the food. I don't care what you say, I can taste the newspaper."
