,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
91866,355,1,85000,Public Radio Announcer,Simpson Home,"You're listening to Nationwide Public Radio. It is now two o'clock...time for ""Verbal Tea"" with Amy Levine-Gonzalez."
91867,355,2,93000,Lisa Simpson,Simpson Home,Oh boy! This is what sunny Sunday afternoons are for!
91868,355,3,98000,Female Radio Host,Simpson Home,Today we'll discuss a dying form of Peruvian banjo music...
91870,355,5,98000,Female Radio Host,NPR RADIO STUDIO,...with Dartmouth banjologist Stefan Whitmore.
91871,355,6,110000,Stefan Whitmore,NPR RADIO STUDIO,"It's just uh, it's not that good."
91872,355,7,112000,Female Radio Host,NPR RADIO STUDIO,In our second hour...
91873,355,8,113000,Female Radio Host,NPR RADIO STUDIO,Humorist David Sedaris takes a wry look at overcrowding in America's prisons.
91874,355,9,119000,Homer Simpson,NPR RADIO STUDIO,"Prison overcrowding, I've got a solution for that. Oh my God! U-S-A! U-S-A!"
91875,355,10,128000,Female Radio Host,NPR RADIO STUDIO,"But first, we're giving away tickets to the latest film by acclaimed director Mladzieul Klernt."
91876,355,11,135000,Lisa Simpson,NPR RADIO STUDIO,Her films are so lyrical! The phone lines are gonna be jammed.
91877,355,12,141000,Female Radio Host,NPR RADIO STUDIO,Winner of the Romanian Film Festival's prestigious Golden Bucket...
91878,355,13,145000,Female Radio Host,NPR RADIO STUDIO,"Holy crap, someone's actually calling!"
91879,355,15,154000,Lisa Simpson,TV ROOM,"Hey, I won four free movie tickets! And it starts in half an hour!"
91880,355,16,158000,Homer Simpson,TV ROOM,"Free movie tickets?! I feel like Roger Ebert, or his kiss-ass new partner!"
91881,355,17,163000,Marge Simpson,TV ROOM,But we don't have a sitter for Maggie.
91883,355,19,165000,Homer Simpson,TV ROOM,She'll be fine here under the watchful eye of Grandma Shark Week.
91885,355,21,172000,Marge Simpson,TV ROOM,A TV shark is not a babysitter!
91886,355,22,175000,Homer Simpson,TV ROOM,How about this guy?
91887,355,23,177000,Marge Simpson,TV ROOM,Homer!
91889,355,25,182000,Ned Flanders,Flanders Home,"Howdy, Homer. You here for a viewin' of my shampooin'?"
91890,355,26,185000,Homer Simpson,Flanders Home,"Shut up, Flanders, I need a favor. Would you mind watching Maggie for a while? It would only be until later."
91891,355,27,190000,Ned Flanders,Flanders Home,"Oh, sorry, but I promised to rewind videotapes for the poor."
91892,355,28,193000,Homer Simpson,Flanders Home,"Come on Flanders, doesn't that ""Bible"" of yours say to ""love thy neighbor""? Why won't you love me?"
91893,355,29,199000,Ned Flanders,Flanders Home,"All right, neighbor, I'll baby-sit."
91894,355,30,201000,Homer Simpson,Flanders Home,"Thanks, Ned."
91895,355,31,203000,Homer Simpson,Flanders Home,You wear a bathing suit in the bathtub?
91896,355,32,205000,Ned Flanders,Flanders Home,"Yeah, so I can't see my own shrinky dink."
91897,355,33,208000,Homer Simpson,Flanders Home,Makes sense.
91900,355,36,222000,Bart Simpson,LIMITED APPEAL THEATER,Instead of video games they have weird free newspapers.
91901,355,37,229000,Bart Simpson,LIMITED APPEAL THEATER,"Mom, am I a ""butch"" or a ""fem""?"
91902,355,38,231000,Marge Simpson,LIMITED APPEAL THEATER,"Honey, you can be anything you want to be."
91903,355,39,235000,Homer Simpson,LIMITED APPEAL THEATER,"This theater sucks. My seat's uncomfortable, the screen's only half a screen, and that guy's eating an apple!"
91904,355,40,242000,Bohemian-looking Man,LIMITED APPEAL THEATER,Would you care for a segment?
91905,355,41,244000,Homer Simpson,LIMITED APPEAL THEATER,Yes.
91906,355,42,267000,Soldier #1,LIMITED APPEAL THEATER,Ah a dee po vdaes pharae.
91907,355,43,267000,Soldier #2,LIMITED APPEAL THEATER,Pur kutu tu kahm zeelee.
91908,355,44,267000,Goat,LIMITED APPEAL THEATER,Oon yahm mu a vyaetur sae vaetu yaetah.
91909,355,45,267000,Marge Simpson,LIMITED APPEAL THEATER,What language is this? Gibby-Gabby?
91910,355,46,270000,Lisa Simpson,LIMITED APPEAL THEATER,"It's Albanian. But the producers added subtitles to make it ""commercial."""
91912,355,47,275000,Bart Simpson,LIMITED APPEAL THEATER,"Mom, I don't wanna read -- it's the weekend!"
91913,355,48,279000,Homer Simpson,LIMITED APPEAL THEATER,I've had enough -- I'm leaving!
91914,355,49,282000,Homer Simpson,LIMITED APPEAL THEATER,I'm stuck. Why did I eat that apple segment?
91917,355,52,292000,Ned Flanders,Flanders Home,"Oh-uh-uh... sorry Maggie, that's something to collect, not enjoy. It's one of my Humble figurines."
91918,355,53,299000,Ned Flanders,Flanders Home,"He scampered out of Parade magazine and into my knick-knack nook, and uh, well his little buddies soon followed."
91919,355,54,313000,Ned Flanders,Flanders Home,"You like 'em, huh? Come on, I'll show you the other three hundred."
91920,355,55,318000,Ned Flanders,Flanders Home,How could this have... oh.
91922,355,57,324000,Lisa Simpson,LIMITED APPEAL THEATER,I feel so much empathy for those villagers. They had to drink their own tears...
91923,355,58,330000,Bart Simpson,LIMITED APPEAL THEATER,I was so bored I cut the ponytail off the guy sittin' in front of us.
91924,355,59,333000,Bart Simpson,LIMITED APPEAL THEATER,"Look at me, I'm a grad student. I'm thirty years old and I made six hundred dollars last year."
91925,355,60,338000,Marge Simpson,LIMITED APPEAL THEATER,"Bart, don't make fun of grad students -- they just made a terrible life choice."
91927,355,62,342000,Todd Flanders,Flanders Home,"Judas Bear, you're not touching your Last Supper."
91928,355,63,346000,Rod Flanders,Flanders Home,I can't eat because my conscience is heavy.
91929,355,64,350000,Ned Flanders,Flanders Home,"Boys, enough of your shenanigans. It's bedtime."
91930,355,65,353000,Marge Simpson,Flanders Home,"Ned, let me give you a little something for babysitting."
