,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
33055,151,1,46000,Rod Flanders,Evergreen Terrace,"Run, Daddy, run!"
33056,151,2,48000,Ned Flanders,Evergreen Terrace,"Open the door, Maude! I don't have time for the secret knock!"
33057,151,3,52000,Maude Flanders,Evergreen Terrace,"Oh, I'm panicking, Neddy. I can't work the knob!"
33060,151,6,68000,Kent Brockman,Sky,"This is Kent Brockman with a special report from the Channel 6 newscopter. A large bear-like animal, most likely a bear, has wandered down from the hills, in search of food or perhaps employment. Please, remain calm. Stay in your homes."
33062,151,8,88000,Homer Simpson,Simpson Home,"Looks like bad news for the... ...""Impson"" family."
33063,151,9,95000,Homer Simpson,Simpson Home,"Let's all calm down. Everyone's going to be just fine, as long as I've got enough beer."
33064,151,10,103000,Homer Simpson,Simpson Home,"All right, that does it. If I'm gonna be trapped inside the house I gotta go out and buy some beer."
33065,151,11,116000,Homer Simpson,Simpson Home,Now to drop gracefully through the windshield.
33066,151,12,123000,Bart Simpson,Simpson Home,"I've got ya, dad!"
33068,151,14,135000,Chief Wiggum,Evergreen Terrace,"Sweet dreams, Smokey."
33069,151,15,140000,Barney Gumble,Evergreen Terrace,Animal tranquilizer!
33070,151,16,148000,Barney Gumble,Evergreen Terrace,Smooth.
33072,151,18,155000,Chief Wiggum,Evergreen Terrace,"Book 'em, Lou. One count of being a bear. And one count of being an accessory to being a bear."
33073,151,19,172000,Maude Flanders,Evergreen Terrace,"Oh Marge, it was horrible. We were trapped in the house all afternoon and, well, we had to drink toilet water."
33074,151,20,181000,Marge Simpson,Evergreen Terrace,"Well, things were bad everywhere."
33075,151,21,184000,Homer Simpson,Evergreen Terrace,I'm sick of these constant bear attacks! It's like the freakin' country bear jamboroo around here.
33076,151,22,189000,Ned Flanders,Evergreen Terrace,"Well, now realistically, Homer, I've lived here some 30-odd years. This is the first and only bear I've ever seen."
33077,151,23,195000,Homer Simpson,Evergreen Terrace,"Hey -- if you want wild bears eating your children and scaring away your salmon, that's your business. But I'm not gonna take it! Who's with me?"
33078,151,24,205000,Mob,Evergreen Terrace,/ I am! / We are! / etc.
33080,151,26,208000,Homer Simpson,Springfield Town Hall,WE'RE HERE! WE'RE QUEER! WE DON'T WANT ANY MORE BEARS!
33081,151,27,212000,Mob,Springfield Town Hall,WE'RE HERE! WE'RE QUEER! WE DON'T WANT ANY MORE BEARS!
33082,151,28,216000,Lenny Leonard,Springfield Town Hall,"Hey, Homer, that's a pretty catchy chant. Where'd you learn it?"
33083,151,29,219000,Homer Simpson,Springfield Town Hall,"Oh, I heard it at the Mustache Parade they have every year."
33085,151,31,222000,Aide,MAYOR QUIMBY'S OFFICE,"Sir, there's an unruly mob to see you."
33086,151,32,226000,Mayor Joe Quimby,MAYOR QUIMBY'S OFFICE,Does it have an appointment?
33087,151,33,227000,Aide,MAYOR QUIMBY'S OFFICE,"Ahm, yes it does."
33088,151,34,229000,Seymour Skinner,MAYOR QUIMBY'S OFFICE,I phoned ahead.
33089,151,35,231000,Homer Simpson,MAYOR QUIMBY'S OFFICE,"Mr. Mayor, I hate to break it to you, but your city is infested with bears."
33090,151,36,236000,Moe Szyslak,MAYOR QUIMBY'S OFFICE,And these ones are smarter than the average bear. They swiped my pic-a-nic basket!
33091,151,37,241000,Helen Lovejoy,MAYOR QUIMBY'S OFFICE,Think of the children.
33092,151,38,242000,Mayor Joe Quimby,MAYOR QUIMBY'S OFFICE,Very well. I promise swift and decisive action against these hibernating hucksters.
33096,151,42,261000,Homer Simpson,Springfield,"Ahh, not a bear in sight. The bear patrol must be working like a charm."
33097,151,43,267000,Lisa Simpson,Springfield,"That's specious reasoning, Dad."
33098,151,44,269000,Homer Simpson,Springfield,"Thank you, Honey."
33099,151,45,270000,Lisa Simpson,Springfield,"By your logic, I could claim that this rock keeps tigers away."
33100,151,46,273000,Homer Simpson,Springfield,"Oh, how does it work?"
33101,151,47,275000,Lisa Simpson,Springfield,It doesn't work.
33102,151,48,276000,Homer Simpson,Springfield,Uh-huh.
33103,151,49,277000,Lisa Simpson,Springfield,It's just a stupid rock.
33104,151,50,278000,Homer Simpson,Springfield,Uh-huh.
33105,151,51,278000,Lisa Simpson,Springfield,"But I don't see any tigers around here, do you?"
33106,151,52,282000,Homer Simpson,Springfield,"Lisa, I want to buy your rock."
33107,151,53,292000,Homer Simpson,Springfield,"Woo-hoo! A perfect day -- zero bears, and one big fat hairy paycheck!"
33108,151,54,298000,Homer Simpson,Springfield,Hey... how come my pay is so low?
33109,151,55,301000,Homer Simpson,Springfield,"""Bear Patrol Tax: $5?!"" What?! This is an outrage! It's the biggest tax increase in history!"
33110,151,56,309000,Lisa Simpson,Springfield,"Actually, Dad, it's the smallest tax increase in history."
33111,151,57,312000,Homer Simpson,Springfield,Let the bears pay the bear tax. I pay the Homer Tax.
33112,151,58,314000,Lisa Simpson,Springfield,That's the Home-Owner Tax.
33113,151,59,316000,Homer Simpson,Springfield,"Well, anyway, I'm still outraged."
