,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
27045,128,1,35000,Seymour Skinner,Springfield Elementary School,"Ah, is there nothing so intoxicating as the school hallway at early morn?"
27046,128,2,43000,Seymour Skinner,Springfield Elementary School,Hmm. School normally doesn't smell so... rank.
27047,128,3,47000,Seymour Skinner,Springfield Elementary School,Ahh. Washbasin fresh. That funk must be coming from one of the classrooms.
27049,128,5,55000,Seymour Skinner,Springfield Elementary School,Poor fellow. Crushed by his own water bottle...
27050,128,6,63000,Seymour Skinner,Springfield Elementary School,"Willie, sometime over the holiday weekend, the beloved Grade Four gerbil, er, Superdude, lost his life. I need you to air out the classroom and give Superdude a proper burial."
27052,128,8,76000,Groundskeeper Willie,Springfield Elementary School,Yer lucky yer getting a decent burial! Me own father got thrown in the bog!
27053,128,9,85000,Groundskeeper Willie,Springfield Elementary School,What in the name of St. Ephesiocritus?!
27055,128,11,95000,Bart Simpson,Springfield Elementary School,Yuck. What reeks?
27056,128,12,98000,Nelson Muntz,Springfield Elementary School,Smells like one of Van Houten's!
27057,128,13,100000,Milhouse Van Houten,Springfield Elementary School,It does not!
27058,128,14,105000,Ralph Wiggum,Springfield Elementary School,Miss Hoover? The floor is shaking.
27059,128,15,109000,Miss Hoover,Springfield Elementary School,Ralph. Remember the time you thought the --
27060,128,16,109000,Ralph Wiggum,Springfield Elementary School,Mommmmy!!!
27062,128,18,115000,C. Montgomery Burns,Springfield Nuclear Power Plant,"Now, before we adjourn, gentlemen, I have one last matter of utmost importance. I need to send this parcel with the profit projections to Pete Porter in Pasadena - And it absolutely, positively has to be there overnight!"
27063,128,19,129000,Executive #1,Springfield Nuclear Power Plant,Pete Porter. Pass it on.
27064,128,20,130000,Executive #2,Springfield Nuclear Power Plant,Pasadena. Promptly.
27003,128,21,131000,Executive #3,Springfield Nuclear Power Plant,Package for parcel processing. Pronto.
27038,128,22,133000,Waylon Smithers,Springfield Nuclear Power Plant,"Perk up, Prendergast. Profoundly pressing package of power plant profit projections for Pete Porter in Pasadena."
27065,128,23,137000,Prendergast,Springfield Nuclear Power Plant,Priority?
27066,128,24,138000,Waylon Smithers,Springfield Nuclear Power Plant,Precisely.
27067,128,25,146000,Homer Simpson,Springfield Nuclear Power Plant,"Here's your package, Mr. Burns!"
27068,128,26,154000,C. Montgomery Burns,Springfield Nuclear Power Plant,"My name is the return address, you senseless dunderpate! Smithers, who is this nincompoop?"
148565,128,27,159000,Homer's Brain,Springfield Nuclear Power Plant,"I've worked here for ten years, and my boss doesn't even know my name? Well, that's gonna change right now. My name is Homer J. Simp--"
27069,128,28,168000,Homer Simpson,Springfield Nuclear Power Plant,--son!
27070,128,29,169000,C. Montgomery Burns,Springfield Nuclear Power Plant,Sounded large when I ordered it. I can't make hide nor hair of these metric booby-traps.
27072,128,31,176000,Seymour Skinner,Springfield Elementary School Roof,My Lord. Such destruction.
27073,128,32,179000,Seymour Skinner,Springfield Elementary School Roof,Superintendent Chalmers! How are you going?
27074,128,33,183000,Gary Chalmers,Springfield Elementary School Roof,"Why is it when I heard the word ""school"" and the word ""exploded,"" I immediately thought of the word ""Skinner""?"
27075,128,34,189000,Seymour Skinner,Springfield Elementary School Roof,I-I-I-I-I...
27076,128,35,189000,Engineer,Springfield Elementary School Roof,"Congratulations, gentlemen. Your custodian struck oil. You're standing on top of the richest elementary school in the state."
27077,128,36,197000,Engineer,Springfield Elementary School Roof,We also found this.
27078,128,37,199000,Seymour Skinner,Springfield Elementary School Roof,"Thank you, Superdude."
27080,128,39,209000,C. Montgomery Burns,Springfield Nuclear Power Plant,Bah! A non-profit organization with oil? I won't allow it! An oil well doesn't belong in the hands of Betsy Bleedingheart and Maynard G. Muskie-vote!
27081,128,40,218000,Waylon Smithers,Springfield Nuclear Power Plant,"Sir, have you had enough exercise for this morning?"
27082,128,41,223000,C. Montgomery Burns,Springfield Nuclear Power Plant,No. Let's do another twenty miles.
27083,128,42,227000,Waylon Smithers,Springfield Nuclear Power Plant,Ugh!
27084,128,43,236000,C. Montgomery Burns,Springfield Nuclear Power Plant,"Hello, Lenny, Carl, Guillermo..."
27085,128,44,239000,C. Montgomery Burns,Springfield Nuclear Power Plant,Hello... Eh... do..er... uh... Oooh...umm...
27086,128,45,243000,Lenny Leonard,Springfield Nuclear Power Plant,"Don't take it so hard, Homer. He's always screwin' up people's names."
27087,128,46,248000,Guillermo,Springfield Nuclear Power Plant,"Yeah. At the picnic, he thought my son Reynaldo was my son Rolando. Can you believe that?"
27089,128,48,254000,Seymour Skinner,Springfield Elementary School,"Superintendent, we made the front page today!"
27090,128,49,259000,Gary Chalmers,Springfield Elementary School,"Uh, what's that say under your hand there?"
27091,128,50,262000,Seymour Skinner,Springfield Elementary School,"Hm, it's an unrelated article."
27092,128,51,264000,Gary Chalmers,Springfield Elementary School,It's an unrelated article. Within the banner headline?
27093,128,52,268000,Seymour Skinner,Springfield Elementary School,"Yes. Now, to re-direct our conversation slightly, I had a few ideas on how to spend this oil money."
27094,128,53,272000,Gary Chalmers,Springfield Elementary School,"Well, we could give each student a full college scholarship."
27096,128,55,284000,Seymour Skinner,Springfield Elementary School,"Oh mercy. Seriously though, before we draw up the budget, I believe the students and faculty have a few suggestions..."
