,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
106653,411,1,40000,Lisa Simpson,Simpson Home,"Dad, I'm freezing."
106654,411,2,42000,Homer Simpson,Simpson Home,"Don't worry, kids. These wool socks and down parkas will keep you warm."
106656,411,4,50000,Marge Simpson,Simpson Home,We wouldn't be in this trouble if you'd just paid the heating bill!
106657,411,5,54000,Homer Simpson,Simpson Home,I thought global warming would take care of it. Al Gore can't do anything right.
106658,411,6,58000,Bart Simpson,Simpson Home,"I got some old magazines to burn. ""Popular Science,"" ""Redbook"", ""Big and Tall Halloween Costume"" catalogue..."
106659,411,7,67000,Bart Simpson,Simpson Home,Next item...
106660,411,8,69000,Marge Simpson,Simpson Home,No!!! That's my memory box!
106661,411,9,75000,Lisa Simpson,Simpson Home,"Mom, I didn't know you went to college!"
106662,411,10,79000,Bart Simpson,Simpson Home,"Yeah, you always said that after high school, Dad ""blessed you with the unplanned miracle of me."""
106663,411,11,83000,Marge Simpson,Simpson Home,"Hey, parents are allowed to keep some secrets."
106664,411,12,87000,Homer Simpson,Simpson Home,Like which kid's their favorite! It's Lisa.
106665,411,13,90000,Lisa Simpson,Simpson Home,"You know, Mom and Dad are almost forty, and Bart is ten. That means you didn't have him until way after high school."
106666,411,14,100000,Bart Simpson,Simpson Home,"Yeah, what happened while I was chillin' in Dad's junk?"
106667,411,15,103000,Marge Simpson,Simpson Home,There is a part of our past that we haven't told you kids about. A turbulent part.
106668,411,16,109000,Bart Simpson,Simpson Home,C'mon. More turbulent than now?
106669,411,17,111000,Lisa Simpson,Simpson Home,We're in every kind of therapy!
106670,411,18,113000,Homer Simpson,Simpson Home,Things happened between your mother and me that we're not proud of. It was the middle of a wild decade known as the nineteen nineties.
106671,411,19,120000,Bart Simpson,Simpson Home,The nineties? Never heard of it.
106672,411,20,122000,Homer Simpson,Simpson Home,"Oh, it was a wonderful time. The Iraq war was over once and for all, a struggling Matt Groening created ""Futurama,"" and young people believed in their dreams, thanks to a TV show called ""Melrose Place""..."
106674,411,22,136000,Homer Simpson,Apartment Complex,Your mother and I were dating and we had just moved into our first apartment together.
106675,411,23,144000,Kirk Van Houten,Apartment Complex,"Luann, a picture of you cheating on me is downloading onto my computer. I'll know who you were with in less than six hours! Unless someone picks up the phone."
106678,411,26,156000,Homer Simpson,Apartment,"We didn't have a lot of money, but we were young and in love."
106688,411,27,161000,Young Marge,Apartment,I'm afraid it's Top Ramen again.
148094,411,28,164000,Young Homer,Apartment,"With you, baby, Top Ramen tastes like Cup O' Noodles."
148095,411,30,170000,Young Homer,Apartment,You know these IKEA foam futons do Velcro together.
106690,411,31,175000,Young Marge,Apartment,"I'm sorry, I'm not ready to do that yet. I want to wait until I'm married, or at least really drunk."
148096,411,32,182000,Young Homer,Apartment,I understand. We should follow the lead of today's celebrity role models.
106680,411,34,188000,Homer Simpson,King Toot's Music Store,"Like all young people, I had a musical dream."
106681,411,35,188000,Homer Simpson,King Toot's Music Store,A dream called inoffensive urban light hip-hop smooth grooves.
148097,411,36,194000,Young Homer,King Toot's Music Store,"Okay everyone, let's warm up our harmonies. HOMER..."
106682,411,37,198000,Young Lenny,King Toot's Music Store,LENNY...
106683,411,38,199000,Young Carl,King Toot's Music Store,CARL...
106684,411,39,200000,Young Lou,King Toot's Music Store,LOU THE COP...
106685,411,40,204000,Band,King Toot's Music Store,I'LL MAKE RUB TO YOU / SHOW RESPECT FOR YOU / HUG SO SAFE AND STRONG / BACKRUB ALL NIGHT LONG! / I'LL MAKE RUB TO YOU!
106691,411,42,216000,Marge Simpson,Apartment Building,But our happiness was about to unravel just like Kevin Costner's career: because of the postman.
148098,411,44,224000,Young Homer,Apartment,You applied to college? Why didn't you tell me?
106710,411,45,227000,Young Marge,Apartment,I did tell you.
148099,411,46,228000,Young Homer,Apartment,"I thought you were telling me you wanted to apply yourself to making a collage. And as I recall, I was against it."
106711,411,47,234000,Young Marge,Apartment,I can't believe I got in. It's like a dream come true. An expensive dream.
148100,411,49,245000,Young Homer,Apartment,"Oh baby, you deserve every last bit of it! I can get the money. But it'll mean swallowing my pride and working for my Dad..."
106708,411,51,255000,Young Grampa,Warehouse,"Well, well, well, look who's come crawling back to work for your old man. What do you need the money for? Medicine?"
148101,411,52,263000,Young Homer,Warehouse,None of your business. Now give me a job at your business.
106694,411,53,267000,Kids,Warehouse,Die! Die! Die!
148102,411,54,270000,Young Homer,Warehouse,"Okay, all right! Time's up!"
106709,411,55,279000,Young Grampa,Warehouse,This counts as your break.
106696,411,57,281000,Homer Simpson,Springfield University,But Marge's education was worth all the pistol whipping in the world.
106713,411,58,286000,Young Marge,Springfield University,This place is just like the brochure... autumn leaves...bull sessions...
106697,411,59,292000,Young Comic Book Guy,Springfield University,And that is why the Lord of the Rings can never be filmed.
148227,411,60,296000,Young Marge,Springfield University,Fraternity pledges in their beanies...
148228,411,61,299000,Young Marge,Springfield University,I think I'm gonna like it here.
106699,411,63,304000,Prof. August,CLASSROOM,"So, have you all bought the required textbooks for this class?"
106700,411,64,309000,Prof. August,CLASSROOM,Good. Now throw them all away!
106702,411,66,316000,Prof. August,CLASSROOM,Everything you think you know about history is a lie. For example: the Founding Fathers.
106703,411,67,321000,Prof. August,CLASSROOM,What did they have in common?
106704,411,68,323000,Male Student,CLASSROOM,They defied a king?
106705,411,69,324000,Female Student,CLASSROOM,They created a system of checks and balances?
106706,411,70,326000,Prof. August,CLASSROOM,"Wrong! They were all white, Protestant, property-owning males!"
148229,411,72,336000,Young Marge,CLASSROOM,Are you saying that America was founded on... misconceptions?
106687,411,73,342000,Prof. August,CLASSROOM,Who said that?
106714,411,74,348000,Prof. August,CLASSROOM,"Hm, that is exactly what I'm saying."
106715,411,75,353000,Prof. August's Thoughts,CLASSROOM,"Fall Semester, you just got... interesting."
148103,411,77,361000,Young Homer,Springfield University,This book sucks so much.
106732,411,78,363000,Young Marge,Springfield University,"Homie, my mind has been opened in so many ways! Did you know that every U.S. president has been a straight white man?"
148104,411,79,370000,Young Homer,Springfield University,Even Walt Disney?
106733,411,80,371000,Young Marge,Springfield University,And did you also know that history is written by the winners?
148105,411,81,375000,Young Homer,Springfield University,Really? I thought it was written by losers.
106734,411,82,381000,Young Marge,Springfield University,"If you think that, you should meet my new professor. Professor August has shown me a side of the world I never knew."
148106,411,83,387000,Young Homer,Springfield University,"Professor August, eh? Who is he, some grey-haired old bookworm?"
106735,411,84,391000,Young Marge,Springfield University,Uhhh... not exactly.
106717,411,85,393000,Prof. August,Springfield University,Marge?
106718,411,86,393000,Prof. August,Springfield University,I hope I'll be seeing you tomorrow during office hours.
148230,411,87,398000,Young Marge,Springfield University,"Three to five, right?"
106719,411,88,400000,Prof. August,Springfield University,"If my beads are parted, come right in."
