,episode_id,number,timestamp_in_ms,raw_character_text,raw_location_text,spoken_words
107142,413,2,61000,Bart Simpson,Homer's Car,Ow! Mom! Lisa hit me!
107143,413,3,63000,Lisa Simpson,Homer's Car,I did not!
107144,413,4,65000,Marge Simpson,Homer's Car,"Kids, knock it off. I'm uncomfortable driving your father's car as it is."
107145,413,5,71000,Marge Simpson,Homer's Car,What the?
107147,413,7,77000,Bart Simpson,Homer's Car,Fine. We'll divide the car into your side and my side. My leg is the barrier.
107148,413,8,83000,Lisa Simpson,Homer's Car,Mo-om!
107149,413,9,85000,Bart Simpson,Homer's Car,The system works!
107151,413,11,89000,Bart Simpson,Homer's Car,It's not funny! You're wearing cleats!
107152,413,12,95000,Marge Simpson,Homer's Car,Stop it! Stop it!
107155,413,15,113000,Bart Simpson,Springfield Elementary School,"Sorry I'm late -- I was in a car crash. Many hurt, but nobody cool was harmed."
107156,413,16,118000,Edna Krabappel-Flanders,Springfield Elementary School,"Just sit down, Bart."
107157,413,17,119000,Bart Simpson,Springfield Elementary School,Huh?
107158,413,18,122000,Bart Simpson,Springfield Elementary School,Who's the new meat in my seat?
107159,413,19,124000,Edna Krabappel-Flanders,Springfield Elementary School,"Bart, this is Donny. He's here at our school because he was kicked out of P.S. one thirty-two."
107160,413,20,129000,Donny,Springfield Elementary School,P.S. -- that school sucked.
107162,413,22,132000,Edna Krabappel-Flanders,Springfield Elementary School,"But don't worry, Bart. Willie's bringing you something to sit on."
107163,413,23,142000,Donny,Springfield Elementary School,"Hey, Krabappel, your name sounds like ""crab apple."" Did you go sour waiting for someone to pick you?"
107164,413,24,148000,Edna Krabappel-Flanders,Springfield Elementary School,Pretty much.
107166,413,26,168000,Milhouse Van Houten,Springfield Elementary School,Isn't he awesome?
107167,413,27,170000,Ralph Wiggum,Springfield Elementary School,"When he grows up, I want to be like me."
107168,413,28,174000,Bart Simpson,Springfield Elementary School,"Look, new kid, I'm the head hamster in this habitrail. Capeesh?"
107169,413,29,179000,Donny,Springfield Elementary School,"Well maybe there's a new guinea pig in your cage. ""Capeesh"" that?"
107170,413,30,182000,Bart Simpson,Springfield Elementary School,"Oh, I ""capeesh."" I ""capeesh"" just fine."
107171,413,31,186000,Donny,Springfield Elementary School,"Well, you just keep on capeeshing."
107174,413,34,197000,Nelson Muntz,Springfield Elementary School,See saw!
107177,413,37,200000,Mike,Car Dealership,"Mr. Simpson, this damage will take a week to fix."
107178,413,38,204000,Mike,Car Dealership,"While your car's in the shop, you can drive this loaner."
107179,413,39,208000,Homer Simpson,Car Dealership,Loa...ner?
107180,413,40,210000,Mike,Car Dealership,She's right here.
107181,413,41,211000,Homer Simpson,Car Dealership,Wow. This is the kind of car you see in commercials! How much am I paying for this?
107182,413,42,218000,Mike,Car Dealership,Nothin'.
107183,413,43,218000,Homer Simpson,Car Dealership,"Hm, it seems like a lot..."
107184,413,44,220000,Mike,Car Dealership,On the contrary. The loaner car is complimentary. It's standard policy.
107185,413,45,224000,Homer Simpson,Car Dealership,"Really? You people are idiots! That's the dumb-- What a stu-- I mean, that sounds fair."
107186,413,46,240000,Mike,Car Dealership,"Okay, so--"
107187,413,47,244000,Homer Simpson,Car Dealership,Look at you! Idiots!
107189,413,49,246000,Homer Simpson,Springfield Street,DRIVER OF A LOANER CAR / MUCH BETTER THAN A / DRIVER OF MY NORMAL CAR...
107190,413,50,256000,Carl Carlson,Springfield Street,"Whoa, fancy wheels. What song does the horn play?"
107191,413,51,260000,Homer Simpson,Springfield Street,None.
107192,413,52,261000,Carl Carlson,Springfield Street,Classy.
107194,413,54,264000,Homer Simpson,Springfield Street,"Hey boy, check out my new car!"
107196,413,56,271000,Bart Simpson,Springfield Street,Cut it out!
107197,413,57,272000,Homer Simpson,Springfield Street,Wanna take a ride with your old man?
107198,413,58,273000,Bart Simpson,Springfield Street,No.
107199,413,59,273000,Homer Simpson,Springfield Street,C'mon. C'mon. Oh c'mon.
107200,413,60,278000,Bart Simpson,Springfield Street,Oh fine.
107203,413,63,285000,Homer Simpson,LOANER CAR,"What's the matter, son?"
107204,413,64,286000,Bart Simpson,LOANER CAR,There's this new kid at school who everyone thinks is cooler than me.
107205,413,65,289000,Homer Simpson,LOANER CAR,"Aw, don't give up, boy. I believe in you -- and not just because I have to."
107206,413,66,294000,Bart Simpson,LOANER CAR,"Really, Dad?"
107207,413,67,294000,Homer Simpson,LOANER CAR,"Son, I know when we first met, we didn't really hit it off. But since then, I've really come to respect you. And unlike love, respect can't be bought."
107208,413,68,305000,Bart Simpson,LOANER CAR,You're right. I'm gonna go to school tomorrow and show everyone I'm awesome.
107209,413,69,308000,Homer Simpson,LOANER CAR,That's my boy! Now let's watch the air conditioner fight the heater!
107211,413,71,316000,Homer Simpson,LOANER CAR,Now let's add the rear window defogger!
107212,413,73,321000,Homer Simpson,LOANER CAR,Twister! Get down!
107215,413,76,327000,Seymour Skinner,Springfield Elementary School,"""Air Skinner"" brings it up. He bounces the ball repeatedly, in a dribbling-type motion."
107216,413,77,339000,Seymour Skinner,Springfield Elementary School,Foul!
107217,413,78,340000,Groundskeeper Willie,Springfield Elementary School,"Great, I fouled out. Now can I go?"
107218,413,79,343000,Seymour Skinner,Springfield Elementary School,"Nope, I grant you five more fouls."
107220,413,81,361000,Bart Simpson,Springfield Elementary School,"Top this, Donny."
107221,413,82,368000,Seymour Skinner,Springfield Elementary School,"Thank you, children. Welcome to the unveiling of our new school lunch purchasing plan, known as the Flex Plan."
107223,413,84,380000,Seymour Skinner,Springfield Elementary School,"Students may spend up to ten points per day in up to four of seven categories. Unused points roll over week to week, but not month to month. Categories not included: meat, dairy, vegetables..."
107224,413,85,390000,Seymour Skinner,Springfield Elementary School,That's odd.
107225,413,86,392000,Seymour Skinner,Springfield Elementary School,"But, as a one-time occurrence, no cause for alarm."
107228,413,89,398000,Seymour Skinner,Springfield Elementary School,It's not funny! These movements are involuntary!
107230,413,91,405000,Bart Simpson,Springfield Elementary School,This almost makes me want to find out how magnets work.
107238,413,99,450000,Kids,Auditorium,Bart! Bart! Bart!
107239,413,100,454000,Seymour Skinner,Auditorium,"Who did this? Until I find out, no one is leaving this mixed-use auditorium."
107240,413,101,458000,Milhouse Van Houten,Auditorium,But some of us have After-School Care!
107241,413,102,462000,Seymour Skinner,Auditorium,"When I catch the culprit, and I will, I'm gonna throw this away..."
107242,413,103,467000,Seymour Skinner,Auditorium,And use this instead!
107245,413,106,473000,Donny,Auditorium,Principal Skinner?
107246,413,107,476000,Donny,Auditorium,I did it.
107249,413,109,479000,Seymour Skinner,Auditorium,"Young man, my office, now!"
107250,413,110,484000,Bart Simpson,Auditorium,Why did you take the rap for me?
107251,413,111,486000,Donny,Auditorium,I don't know. I like your style.
107252,413,112,488000,Bart Simpson,Auditorium,"Well, remember this: Bart Simpson takes care of his friends."
107253,413,113,492000,Bart Simpson,Auditorium,Come see me when you get out.
107255,413,115,497000,Seymour Skinner,Springfield Elementary School,"Young man, brace yourself..."
107256,413,116,500000,Seymour Skinner,Springfield Elementary School,For some congratulations!
107257,413,117,502000,Seymour Skinner,Springfield Elementary School,We did it! You're in!
107258,413,118,504000,Gary Chalmers,Springfield Elementary School,"We finally have a man on the inside. We're gonna put Bart Simpson away for a long, long time."
107259,413,119,511000,Seymour Skinner,Springfield Elementary School,"By law, the most we can give him is a ten day suspension."
107260,413,120,513000,Gary Chalmers,Springfield Elementary School,"Well, that's long to a kid!"
107262,413,122,520000,Seymour Skinner,Springfield Elementary School,"All our other attempts to get a spy inside the Bart Simpson operation have failed. Uter, Ralph, Doug the hip guidance counselor... he's never been the same since Bart got through with him."
107264,413,124,528000,Doug,Alley,Your extra-curriculars are gonna need a lot of work if you wanna get into Vanderbilt.
107266,413,126,534000,Donny,Alley,I'll get the goods on this Simpson kid. You have my word as a snitch.
107267,413,127,538000,Seymour Skinner,Alley,"Uh-oh, here he comes. Now this won't be easy, but pretend I'm a jerk."
107269,413,129,541000,Seymour Skinner,Springfield Elementary School,"Young man, I'm gonna be on you like a numerator on a denominator!"
107270,413,130,546000,Bart Simpson,Springfield Elementary School,Let's take a ride. I got a place with a view.
107273,413,133,553000,Donny,Bart's Treehouse,I've never seen blue vines before!
107274,413,134,555000,Bart Simpson,Bart's Treehouse,They're only sold in Europe. I know a guy.
107275,413,135,562000,Donny,Bart's Treehouse,"Oh yeah, you can really taste the blue."
107276,413,136,564000,Bart Simpson,Bart's Treehouse,Check this out.
107277,413,137,566000,Donny,Bart's Treehouse,Oh that's so cool!
107278,413,138,570000,Bart Simpson,Bart's Treehouse,Here's a little hair of the dog for tomorrow.
107279,413,139,572000,Donny,Bart's Treehouse,"Oh, thanks, Bart."
107281,413,140,574000,Bart Simpson,Bart's Treehouse,"Now that we're buddies, I can let you in on some of the cool scams we run at school."
